sample_token,attribute,error_rate
00889f8a9549450aa2f32cf310a3e305,time_of_day,0.0
00889f8a9549450aa2f32cf310a3e305,vehicle_density,1.0
00889f8a9549450aa2f32cf310a3e305,vru_present,0.133
00889f8a9549450aa2f32cf310a3e305,weather,0.133
0106a9b8e65f4ad1867b44591aeed8b0,time_of_day,0.4
0106a9b8e65f4ad1867b44591aeed8b0,vehicle_density,1.0
0106a9b8e65f4ad1867b44591aeed8b0,vru_present,0.733
0106a9b8e65f4ad1867b44591aeed8b0,weather,0.0
023c4df2d451409881d8e6ea82f14704,time_of_day,0.0
023c4df2d451409881d8e6ea82f14704,vehicle_density,0.067
023c4df2d451409881d8e6ea82f14704,vru_present,0.667
023c4df2d451409881d8e6ea82f14704,weather,0.0
0307afa1ec7e48ce90295acabf8cb6dd,time_of_day,0.0
0307afa1ec7e48ce90295acabf8cb6dd,vehicle_density,1.0
0307afa1ec7e48ce90295acabf8cb6dd,vru_present,1.0
0307afa1ec7e48ce90295acabf8cb6dd,weather,0.4
0373e9d8886648779c8a73304919ab5f,time_of_day,0.0
0373e9d8886648779c8a73304919ab5f,vehicle_density,1.0
0373e9d8886648779c8a73304919ab5f,vru_present,0.0
0373e9d8886648779c8a73304919ab5f,weather,0.2
0402e40724984f3b833496067d46c771,time_of_day,0.0
0402e40724984f3b833496067d46c771,vehicle_density,0.267
0402e40724984f3b833496067d46c771,vru_present,1.0
0402e40724984f3b833496067d46c771,weather,0.0
042f582eb2bb4231910918ba85f390d3,time_of_day,0.2
042f582eb2bb4231910918ba85f390d3,vehicle_density,0.0
042f582eb2bb4231910918ba85f390d3,vru_present,1.0
048a45dd2cf54aa5808d8ccc85731d44,time_of_day,0.2
048a45dd2cf54aa5808d8ccc85731d44,vehicle_density,1.0
048a45dd2cf54aa5808d8ccc85731d44,vru_present,0.333
050b2d9c4bb647b7ab4ee94bdb538e1d,time_of_day,0.2
050b2d9c4bb647b7ab4ee94bdb538e1d,vehicle_density,0.467
050b2d9c4bb647b7ab4ee94bdb538e1d,vru_present,0.333
050b2d9c4bb647b7ab4ee94bdb538e1d,weather,0.067
056becbc0d5a46da8d59eebddedb47bb,time_of_day,0.0
056becbc0d5a46da8d59eebddedb47bb,vehicle_density,1.0
056becbc0d5a46da8d59eebddedb47bb,vru_present,1.0
05bc09f952ab4cf8b754405f20d503c5,time_of_day,0.0
05bc09f952ab4cf8b754405f20d503c5,vehicle_density,1.0
05bc09f952ab4cf8b754405f20d503c5,vru_present,0.2
05bc09f952ab4cf8b754405f20d503c5,weather,0.0
05e993bd780241aabaa30dd2a0473286,time_of_day,0.2
05e993bd780241aabaa30dd2a0473286,vehicle_density,0.8
05e993bd780241aabaa30dd2a0473286,vru_present,1.0
05e993bd780241aabaa30dd2a0473286,weather,0.267
06be0e3b665c44fa8d17d9f4770bdf9c,time_of_day,0.4
06be0e3b665c44fa8d17d9f4770bdf9c,vehicle_density,1.0
06be0e3b665c44fa8d17d9f4770bdf9c,vru_present,0.733
07175443e8444b8c8c4802fd004e33c1,time_of_day,0.0
07175443e8444b8c8c4802fd004e33c1,vehicle_density,1.0
07175443e8444b8c8c4802fd004e33c1,vru_present,1.0
07c29094cb6144aa889c16c52f762d79,time_of_day,0.8
07c29094cb6144aa889c16c52f762d79,vehicle_density,1.0
07c29094cb6144aa889c16c52f762d79,vru_present,0.333
07fad91090c746ccaa1b2bdb55329e20,time_of_day,0.2
07fad91090c746ccaa1b2bdb55329e20,vehicle_density,0.133
07fad91090c746ccaa1b2bdb55329e20,vru_present,0.0
083240c8c70b44e4ac6fc7f267b1518f,time_of_day,0.2
083240c8c70b44e4ac6fc7f267b1518f,vehicle_density,1.0
083240c8c70b44e4ac6fc7f267b1518f,vru_present,1.0
083240c8c70b44e4ac6fc7f267b1518f,weather,0.8
0915646e387b484785ae2b847ffdee2f,time_of_day,0.8
0915646e387b484785ae2b847ffdee2f,vehicle_density,1.0
0915646e387b484785ae2b847ffdee2f,vru_present,0.467
092051710b7b4d9294e98dcb3f0f7be1,time_of_day,0.8
092051710b7b4d9294e98dcb3f0f7be1,vehicle_density,1.0
092051710b7b4d9294e98dcb3f0f7be1,vru_present,0.8
092051710b7b4d9294e98dcb3f0f7be1,weather,0.133
0a0d6b8c2e884134a3b48df43d54c36a,time_of_day,0.0
0a0d6b8c2e884134a3b48df43d54c36a,vehicle_density,0.6
0a0d6b8c2e884134a3b48df43d54c36a,vru_present,0.467
0a0d6b8c2e884134a3b48df43d54c36a,weather,0.0
0a3abc33048d46f9bd78151d1df4b004,time_of_day,0.2
0a3abc33048d46f9bd78151d1df4b004,vehicle_density,0.8
0a3abc33048d46f9bd78151d1df4b004,vru_present,0.2
0a3abc33048d46f9bd78151d1df4b004,weather,0.2
0af0feb5b1394b928dd13d648de898f5,time_of_day,0.0
0af0feb5b1394b928dd13d648de898f5,vehicle_density,0.8
0af0feb5b1394b928dd13d648de898f5,vru_present,0.0
0af0feb5b1394b928dd13d648de898f5,weather,0.0
0bb62a68055249e381b039bf54b0ccf8,time_of_day,0.2
0bb62a68055249e381b039bf54b0ccf8,vehicle_density,0.2
0bb62a68055249e381b039bf54b0ccf8,vru_present,0.267
0cd661df01aa40c3bb3a773ba86f753a,time_of_day,0.067
0cd661df01aa40c3bb3a773ba86f753a,vehicle_density,0.533
0cd661df01aa40c3bb3a773ba86f753a,vru_present,0.0
0cd661df01aa40c3bb3a773ba86f753a,weather,0.067
0d0700a2284e477db876c3ee1d864668,time_of_day,0.0
0d0700a2284e477db876c3ee1d864668,vehicle_density,0.267
0d0700a2284e477db876c3ee1d864668,vru_present,0.333
0d0700a2284e477db876c3ee1d864668,weather,0.0
0d6668bcb0644bbaaee81c17cc308845,time_of_day,0.2
0d6668bcb0644bbaaee81c17cc308845,vehicle_density,0.733
0d6668bcb0644bbaaee81c17cc308845,vru_present,0.067
0d6668bcb0644bbaaee81c17cc308845,weather,0.267
0d7263a5b8264cad996582d6219ef1f2,time_of_day,0.0
0d7263a5b8264cad996582d6219ef1f2,vehicle_density,0.8
0d7263a5b8264cad996582d6219ef1f2,vru_present,0.4
0d7263a5b8264cad996582d6219ef1f2,weather,0.0
0e837c21890a4515874247ceb3dbf5c3,time_of_day,0.0
0e837c21890a4515874247ceb3dbf5c3,vehicle_density,1.0
0e837c21890a4515874247ceb3dbf5c3,vru_present,0.867
0ee7e7691e3e4bd88d43150073906a4f,time_of_day,0.4
0ee7e7691e3e4bd88d43150073906a4f,vehicle_density,0.6
0ee7e7691e3e4bd88d43150073906a4f,vru_present,0.8
0fa505e5dd804d3b9f9f076d23b28d6d,time_of_day,0.0
0fa505e5dd804d3b9f9f076d23b28d6d,vehicle_density,0.733
0fa505e5dd804d3b9f9f076d23b28d6d,vru_present,0.6
0fa505e5dd804d3b9f9f076d23b28d6d,weather,0.0
12e1aa58e9d04068a33f37b896b901a3,time_of_day,0.0
12e1aa58e9d04068a33f37b896b901a3,vehicle_density,1.0
12e1aa58e9d04068a33f37b896b901a3,vru_present,1.0
12e1aa58e9d04068a33f37b896b901a3,weather,0.333
134ae8a8f5c340f9894a414fc0966af4,time_of_day,0.2
134ae8a8f5c340f9894a414fc0966af4,vehicle_density,1.0
134ae8a8f5c340f9894a414fc0966af4,vru_present,0.333
134ae8a8f5c340f9894a414fc0966af4,weather,0.067
17723c0411434e48875a93de4db0ecba,time_of_day,0.2
17723c0411434e48875a93de4db0ecba,vehicle_density,0.0
17723c0411434e48875a93de4db0ecba,vru_present,0.0
17723c0411434e48875a93de4db0ecba,weather,0.0
17a9388ec4b04e028b4d07af2cc3a45c,time_of_day,0.2
17a9388ec4b04e028b4d07af2cc3a45c,vehicle_density,1.0
17a9388ec4b04e028b4d07af2cc3a45c,vru_present,0.6
17a9388ec4b04e028b4d07af2cc3a45c,weather,0.4
1923316323b44b86b3389178fb026db6,time_of_day,0.6
1923316323b44b86b3389178fb026db6,vehicle_density,0.933
1923316323b44b86b3389178fb026db6,vru_present,0.867
1923316323b44b86b3389178fb026db6,weather,0.0
19f02e3faab4412988f28d419e1727fa,time_of_day,0.133
19f02e3faab4412988f28d419e1727fa,vehicle_density,0.8
19f02e3faab4412988f28d419e1727fa,vru_present,0.333
19f02e3faab4412988f28d419e1727fa,weather,0.067
1b90013f0287408f9371729424c93892,time_of_day,0.0
1b90013f0287408f9371729424c93892,vehicle_density,1.0
1b90013f0287408f9371729424c93892,vru_present,1.0
1b90013f0287408f9371729424c93892,weather,0.2
1c9a906c40f6417bbe1cea06d6e55501,time_of_day,0.0
1c9a906c40f6417bbe1cea06d6e55501,vehicle_density,0.067
1c9a906c40f6417bbe1cea06d6e55501,vru_present,0.0
1c9a906c40f6417bbe1cea06d6e55501,weather,0.067
1dba6570f0774b5cb87de6694bb338c0,time_of_day,0.267
1dba6570f0774b5cb87de6694bb338c0,vehicle_density,0.667
1dba6570f0774b5cb87de6694bb338c0,vru_present,0.933
1dba6570f0774b5cb87de6694bb338c0,weather,0.333
1ddf7a48af3d43be8763f154974f09ce,time_of_day,0.2
1ddf7a48af3d43be8763f154974f09ce,vehicle_density,0.8
1ddf7a48af3d43be8763f154974f09ce,vru_present,1.0
1ddf7a48af3d43be8763f154974f09ce,weather,0.8
1e0d1b76ea134c7db0592c4510f5e737,time_of_day,0.6
1e0d1b76ea134c7db0592c4510f5e737,vehicle_density,1.0
1e0d1b76ea134c7db0592c4510f5e737,vru_present,0.067
1e3d79dae62742a0ad64c91679863358,time_of_day,0.067
1e3d79dae62742a0ad64c91679863358,vehicle_density,0.0
1e3d79dae62742a0ad64c91679863358,vru_present,1.0
1e3d79dae62742a0ad64c91679863358,weather,0.0
1fc26189c2524ef396e5ce6cc210c1cd,time_of_day,0.533
1fc26189c2524ef396e5ce6cc210c1cd,vehicle_density,0.133
1fc26189c2524ef396e5ce6cc210c1cd,vru_present,0.867
1fc26189c2524ef396e5ce6cc210c1cd,weather,0.2
2021b6b367984ad7b18464a550d0ae8d,time_of_day,0.0
2021b6b367984ad7b18464a550d0ae8d,vehicle_density,0.933
2021b6b367984ad7b18464a550d0ae8d,vru_present,0.467
2021b6b367984ad7b18464a550d0ae8d,weather,0.0
21342b260f964064855aa8ad1e741a22,time_of_day,0.0
21342b260f964064855aa8ad1e741a22,vehicle_density,0.133
21342b260f964064855aa8ad1e741a22,vru_present,0.733
21342b260f964064855aa8ad1e741a22,weather,0.0
225aa2795d63442ebc496cd0c49d3bdb,time_of_day,0.4
225aa2795d63442ebc496cd0c49d3bdb,vehicle_density,0.933
225aa2795d63442ebc496cd0c49d3bdb,vru_present,0.667
225aa2795d63442ebc496cd0c49d3bdb,weather,0.133
236f1ecb6ee7459d918cd011831674d6,time_of_day,0.0
236f1ecb6ee7459d918cd011831674d6,vehicle_density,0.667
236f1ecb6ee7459d918cd011831674d6,vru_present,0.267
236f1ecb6ee7459d918cd011831674d6,weather,0.067
23799328f65843fc9e0c71f2bfbe90ef,time_of_day,0.0
23799328f65843fc9e0c71f2bfbe90ef,vehicle_density,1.0
23799328f65843fc9e0c71f2bfbe90ef,vru_present,0.467
23799328f65843fc9e0c71f2bfbe90ef,weather,0.0
252b65dd79ce4712af1b898b64ea3b98,time_of_day,0.0
252b65dd79ce4712af1b898b64ea3b98,vehicle_density,0.933
252b65dd79ce4712af1b898b64ea3b98,vru_present,0.6
252b65dd79ce4712af1b898b64ea3b98,weather,0.0
2578329fc3ae484bb23ef766808f4be5,time_of_day,0.0
2578329fc3ae484bb23ef766808f4be5,vehicle_density,0.933
2578329fc3ae484bb23ef766808f4be5,vru_present,0.667
2578329fc3ae484bb23ef766808f4be5,weather,0.0
25a4a6aa9096458285cba35c950f2717,time_of_day,0.267
25a4a6aa9096458285cba35c950f2717,vehicle_density,1.0
