attribute,best_model,fold,macro_f1_mean,macro_f1_std
time_of_day,RF,0,0.803,0.008
time_of_day,RF,1,0.996,0.007
time_of_day,RF,2,0.992,0.014
time_of_day,RF,3,1.0,0.0
time_of_day,RF,4,0.832,0.29
weather,SVM,1,0.481,0.0
weather,SVM,2,1.0,0.0
weather,SVM,3,1.0,0.0
weather,SVM,4,1.0,0.0
vehicle_density,LogReg,0,0.303,0.0
vehicle_density,LogReg,1,0.199,0.0
vehicle_density,LogReg,2,0.468,0.0
vehicle_density,LogReg,3,0.236,0.006
vehicle_density,LogReg,4,0.18,0.008
vru_present,LogReg,0,0.334,0.077
vru_present,LogReg,1,0.368,0.0
vru_present,LogReg,2,0.484,0.0
vru_present,LogReg,3,0.578,0.022
vru_present,LogReg,4,0.379,0.005
