,,,accuracy,accuracy,macro_f1,macro_f1
,,,mean,std,mean,std
attribute,subset,model,,,,
time_of_day,all_combined,LogisticRegression,0.9,0.097,0.73,0.232
time_of_day,all_combined,MLP,0.738,0.222,0.62,0.298
time_of_day,all_combined,RandomForest,0.958,0.079,0.924,0.144
time_of_day,all_combined,SVM_RBF,0.763,0.184,0.629,0.2
time_of_day,all_combined,XGBoost,0.956,0.057,0.87,0.211
time_of_day,color_only,LogisticRegression,0.931,0.075,0.755,0.245
time_of_day,color_only,MLP,0.848,0.203,0.767,0.267
time_of_day,color_only,RandomForest,0.935,0.082,0.856,0.217
time_of_day,color_only,SVM_RBF,0.87,0.144,0.773,0.229
time_of_day,color_only,XGBoost,0.948,0.066,0.867,0.215
time_of_day,hog_only,LogisticRegression,0.734,0.141,0.58,0.146
time_of_day,hog_only,MLP,0.723,0.205,0.585,0.273
time_of_day,hog_only,RandomForest,0.733,0.211,0.589,0.249
time_of_day,hog_only,SVM_RBF,0.75,0.18,0.635,0.256
time_of_day,hog_only,XGBoost,0.805,0.118,0.62,0.128
time_of_day,lbp_only,LogisticRegression,0.939,0.068,0.745,0.222
time_of_day,lbp_only,MLP,0.903,0.103,0.783,0.215
time_of_day,lbp_only,RandomForest,0.841,0.189,0.71,0.263
time_of_day,lbp_only,SVM_RBF,0.851,0.207,0.722,0.279
time_of_day,lbp_only,XGBoost,0.842,0.187,0.615,0.235
time_of_day,photo_only,LogisticRegression,0.948,0.072,0.86,0.211
time_of_day,photo_only,MLP,0.908,0.145,0.849,0.24
time_of_day,photo_only,RandomForest,0.966,0.066,0.9,0.177
time_of_day,photo_only,SVM_RBF,0.946,0.071,0.945,0.072
time_of_day,photo_only,XGBoost,0.948,0.069,0.862,0.211
vehicle_density,all_combined,LogisticRegression,0.297,0.132,0.277,0.108
vehicle_density,all_combined,MLP,0.269,0.099,0.24,0.1
vehicle_density,all_combined,RandomForest,0.207,0.092,0.173,0.083
vehicle_density,all_combined,SVM_RBF,0.233,0.064,0.189,0.053
vehicle_density,all_combined,XGBoost,0.248,0.037,0.227,0.033
vehicle_density,color_only,LogisticRegression,0.274,0.112,0.227,0.104
vehicle_density,color_only,MLP,0.264,0.144,0.204,0.132
vehicle_density,color_only,RandomForest,0.298,0.165,0.215,0.114
vehicle_density,color_only,SVM_RBF,0.233,0.128,0.205,0.103
vehicle_density,color_only,XGBoost,0.299,0.085,0.251,0.058
vehicle_density,hog_only,LogisticRegression,0.302,0.117,0.276,0.095
vehicle_density,hog_only,MLP,0.297,0.093,0.277,0.091
vehicle_density,hog_only,RandomForest,0.17,0.062,0.159,0.07
vehicle_density,hog_only,SVM_RBF,0.228,0.063,0.194,0.057
vehicle_density,hog_only,XGBoost,0.255,0.031,0.246,0.03
vehicle_density,lbp_only,LogisticRegression,0.206,0.107,0.17,0.085
vehicle_density,lbp_only,MLP,0.29,0.128,0.273,0.133
vehicle_density,lbp_only,RandomForest,0.212,0.06,0.159,0.049
vehicle_density,lbp_only,SVM_RBF,0.215,0.093,0.185,0.075
vehicle_density,lbp_only,XGBoost,0.22,0.091,0.189,0.108
vehicle_density,photo_only,LogisticRegression,0.334,0.168,0.242,0.12
vehicle_density,photo_only,MLP,0.22,0.108,0.172,0.092
vehicle_density,photo_only,RandomForest,0.225,0.154,0.195,0.118
vehicle_density,photo_only,SVM_RBF,0.267,0.137,0.228,0.119
vehicle_density,photo_only,XGBoost,0.243,0.129,0.22,0.097
vru_present,all_combined,LogisticRegression,0.56,0.218,0.429,0.098
vru_present,all_combined,MLP,0.459,0.192,0.36,0.094
vru_present,all_combined,RandomForest,0.494,0.172,0.326,0.069
vru_present,all_combined,SVM_RBF,0.501,0.21,0.333,0.077
vru_present,all_combined,XGBoost,0.456,0.093,0.378,0.049
vru_present,color_only,LogisticRegression,0.521,0.131,0.403,0.094
vru_present,color_only,MLP,0.461,0.155,0.327,0.07
vru_present,color_only,RandomForest,0.488,0.122,0.333,0.059
vru_present,color_only,SVM_RBF,0.466,0.152,0.317,0.06
vru_present,color_only,XGBoost,0.465,0.112,0.334,0.062
vru_present,hog_only,LogisticRegression,0.555,0.172,0.441,0.066
vru_present,hog_only,MLP,0.501,0.185,0.41,0.058
vru_present,hog_only,RandomForest,0.522,0.17,0.359,0.075
vru_present,hog_only,SVM_RBF,0.511,0.181,0.364,0.062
vru_present,hog_only,XGBoost,0.521,0.165,0.417,0.038
vru_present,lbp_only,LogisticRegression,0.471,0.159,0.39,0.124
vru_present,lbp_only,MLP,0.446,0.107,0.365,0.117
vru_present,lbp_only,RandomForest,0.443,0.059,0.367,0.083
vru_present,lbp_only,SVM_RBF,0.481,0.079,0.396,0.094
vru_present,lbp_only,XGBoost,0.489,0.061,0.407,0.082
vru_present,photo_only,LogisticRegression,0.554,0.258,0.46,0.263
vru_present,photo_only,MLP,0.527,0.201,0.396,0.174
vru_present,photo_only,RandomForest,0.548,0.155,0.433,0.114
vru_present,photo_only,SVM_RBF,0.62,0.286,0.527,0.271
vru_present,photo_only,XGBoost,0.559,0.169,0.417,0.082
weather,all_combined,LogisticRegression,0.858,0.161,0.583,0.256
weather,all_combined,MLP,0.661,0.211,0.389,0.077
weather,all_combined,RandomForest,0.923,0.14,0.852,0.267
weather,all_combined,SVM_RBF,0.982,0.033,0.87,0.235
weather,all_combined,XGBoost,0.893,0.151,0.593,0.249
weather,color_only,LogisticRegression,0.557,0.075,0.357,0.03
weather,color_only,MLP,0.798,0.209,0.562,0.271
weather,color_only,RandomForest,0.904,0.081,0.599,0.242
weather,color_only,SVM_RBF,0.816,0.197,0.568,0.267
weather,color_only,XGBoost,0.851,0.092,0.5,0.159
weather,hog_only,LogisticRegression,0.88,0.118,0.591,0.248
weather,hog_only,MLP,0.689,0.226,0.397,0.089
weather,hog_only,RandomForest,0.992,0.017,0.873,0.23
weather,hog_only,SVM_RBF,0.939,0.11,0.858,0.258
weather,hog_only,XGBoost,0.963,0.045,0.615,0.232
weather,lbp_only,LogisticRegression,0.771,0.33,0.537,0.308
weather,lbp_only,MLP,0.929,0.104,0.73,0.283
weather,lbp_only,RandomForest,0.692,0.373,0.626,0.404
weather,lbp_only,SVM_RBF,0.625,0.414,0.338,0.201
weather,lbp_only,XGBoost,0.638,0.426,0.464,0.375
weather,photo_only,LogisticRegression,0.842,0.193,0.701,0.314
weather,photo_only,MLP,0.947,0.129,0.775,0.28
weather,photo_only,RandomForest,0.919,0.147,0.851,0.27
weather,photo_only,SVM_RBF,0.89,0.171,0.716,0.299
weather,photo_only,XGBoost,0.938,0.113,0.857,0.258
