,,,accuracy,accuracy,accuracy,accuracy,macro_f1,macro_f1,macro_f1,macro_f1,macro_precision,macro_precision,macro_precision,macro_precision,macro_recall,macro_recall,macro_recall,macro_recall,fit_time_sec,fit_time_sec,fit_time_sec,fit_time_sec,predict_time_test_sec,predict_time_test_sec,predict_time_test_sec,predict_time_test_sec
,,,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
attribute,model,version,,,,,,,,,,,,,,,,,,,,,,,,
time_of_day,LogisticRegression,base,0.8565,0.1127,0.6914,0.975,0.6914,0.2124,0.4375,0.9634,0.712,0.2018,0.5,0.9659,0.6811,0.2269,0.3889,0.9634,0.0253,0.0046,0.0205,0.037,0.0007,0.0003,0.0,0.001
time_of_day,LogisticRegression,tuned,0.8997,0.0973,0.7037,0.9875,0.7297,0.2317,0.413,0.9875,0.7515,0.2197,0.5,0.9878,0.7211,0.2452,0.3519,0.9875,0.4725,0.4791,0.1975,1.5896,0.0007,0.0004,0.0,0.0015
time_of_day,MLP,base,0.7657,0.1986,0.5185,0.975,0.6201,0.2509,0.3571,0.975,0.6894,0.2103,0.5,0.9762,0.6162,0.2649,0.2778,0.975,0.4091,0.0347,0.3573,0.4711,0.001,0.0003,0.0005,0.0015
time_of_day,MLP,tuned,0.7376,0.2216,0.4691,1.0,0.6196,0.2975,0.3193,1.0,0.7103,0.2238,0.5,1.0,0.6155,0.3135,0.2346,1.0,1.7452,0.2478,1.41,2.2494,0.0013,0.0006,0.001,0.003
time_of_day,RandomForest,base,0.9613,0.0781,0.8025,1.0,0.927,0.144,0.4969,1.0,0.9395,0.1338,0.5,1.0,0.9279,0.1436,0.4938,1.0,0.0904,0.0158,0.0748,0.1438,0.0172,0.0009,0.0158,0.0195
time_of_day,RandomForest,tuned,0.9588,0.077,0.8025,1.0,0.9245,0.1428,0.4969,1.0,0.9371,0.1328,0.5,1.0,0.9254,0.1424,0.4938,1.0,0.8945,0.0879,0.8,1.1072,0.0273,0.0087,0.0168,0.0431
time_of_day,SVM_RBF,base,0.7554,0.1922,0.5375,1.0,0.6155,0.2132,0.4116,1.0,0.7693,0.1652,0.5,1.0,0.6595,0.1894,0.4753,1.0,0.0619,0.011,0.0405,0.0746,0.0365,0.0088,0.0195,0.0455
time_of_day,SVM_RBF,tuned,0.7629,0.1836,0.575,1.0,0.6294,0.2005,0.4813,1.0,0.7714,0.1651,0.5,1.0,0.667,0.1848,0.4753,1.0,0.5495,0.2296,0.3019,1.277,0.0361,0.0088,0.019,0.0425
time_of_day,XGBoost,base,0.9556,0.0569,0.8765,1.0,0.8696,0.2109,0.474,1.0,0.8804,0.2008,0.5,1.0,0.8651,0.2203,0.4506,1.0,0.8674,0.0465,0.8122,0.9413,0.003,0.0007,0.002,0.0045
time_of_day,XGBoost,tuned,0.9556,0.0569,0.8765,1.0,0.8696,0.2109,0.474,1.0,0.8804,0.2008,0.5,1.0,0.8651,0.2203,0.4506,1.0,10.5321,0.9028,9.6438,11.9158,0.0028,0.0005,0.002,0.0035
vehicle_density,LogisticRegression,base,0.2978,0.1384,0.1951,0.5625,0.2762,0.1095,0.1847,0.4712,0.4226,0.0999,0.2634,0.5504,0.4002,0.0735,0.3138,0.4907,0.1655,0.0876,0.082,0.2964,0.0009,0.0003,0.0005,0.0015
vehicle_density,LogisticRegression,tuned,0.2969,0.1319,0.2073,0.55,0.2771,0.1079,0.1709,0.4678,0.4197,0.1052,0.2872,0.5606,0.4058,0.0636,0.3429,0.484,0.5622,0.1107,0.398,0.7401,0.0007,0.0003,0.0005,0.0015
vehicle_density,MLP,base,0.3202,0.1007,0.175,0.55,0.2974,0.1026,0.1278,0.4675,0.4247,0.1018,0.2756,0.5556,0.4419,0.0787,0.3,0.5487,0.7092,0.0804,0.576,0.8322,0.0011,0.0003,0.0005,0.0015
vehicle_density,MLP,tuned,0.2693,0.099,0.0976,0.4125,0.2404,0.1002,0.0932,0.3874,0.3707,0.1436,0.0542,0.5835,0.3881,0.0665,0.2947,0.4911,2.0105,0.2752,1.6548,2.5677,0.0015,0.0005,0.001,0.0025
vehicle_density,RandomForest,base,0.2172,0.082,0.125,0.4375,0.1885,0.0743,0.0775,0.3745,0.2403,0.1156,0.0457,0.3935,0.304,0.0944,0.1173,0.4852,0.0935,0.0053,0.0821,0.1009,0.0169,0.0007,0.016,0.0185
vehicle_density,RandomForest,tuned,0.1917,0.061,0.122,0.35,0.1618,0.0617,0.0899,0.3048,0.1857,0.1,0.0526,0.3296,0.2807,0.0811,0.0846,0.4111,1.2588,0.1282,1.0556,1.3999,0.0356,0.0054,0.0271,0.044
vehicle_density,SVM_RBF,base,0.2255,0.0735,0.1625,0.35,0.1817,0.0637,0.0932,0.252,0.254,0.1581,0.0542,0.504,0.3594,0.0639,0.2903,0.4407,0.0925,0.004,0.0881,0.104,0.056,0.0088,0.0385,0.0659
vehicle_density,SVM_RBF,tuned,0.2327,0.0635,0.1625,0.3375,0.1892,0.0528,0.0932,0.229,0.2293,0.0933,0.0542,0.3027,0.3673,0.0734,0.2656,0.4833,0.5725,0.0933,0.383,0.6573,0.0528,0.0086,0.037,0.062
vehicle_density,XGBoost,base,0.2499,0.0252,0.2222,0.2805,0.237,0.0265,0.1867,0.2555,0.3171,0.0842,0.1847,0.4049,0.3368,0.0629,0.2473,0.4216,7.3986,0.3079,6.8209,7.8245,0.0031,0.0003,0.0025,0.0035
vehicle_density,XGBoost,tuned,0.2525,0.0218,0.2222,0.2875,0.238,0.0176,0.2154,0.2755,0.3014,0.0886,0.1525,0.3906,0.3255,0.0951,0.1778,0.4275,110.2515,6.5078,97.7947,121.2865,0.0035,0.0004,0.0025,0.004
vru_present,LogisticRegression,base,0.5705,0.2061,0.3951,0.9375,0.4395,0.0812,0.3605,0.5703,0.465,0.0671,0.3843,0.5703,0.4679,0.0669,0.3704,0.5703,0.0472,0.0085,0.0335,0.0586,0.0008,0.0004,0.0005,0.0015
